epoch,lr,seconds,train_accuracy,train_qwk,train_f1_macro,train_f1_weighted,train_loss,val_accuracy,val_qwk,val_f1_macro,val_f1_weighted,val_referable_sensitivity,val_referable_precision,val_referable_f1,val_referable_specificity,val_loss
1,0.00015,41.72,0.380078125,0.2571002474127737,0.2699365689839467,0.4270283601702601,1.62589128613472,0.4709090909090909,0.40081682800059504,0.27333416059026755,0.43309396063044864,0.5874439461883408,0.6328502415458938,0.6093023255813953,0.7675840978593272,1.604467183893377
2,0.0003,29.54,0.4703125,0.5058770759237952,0.3153463650844034,0.48792955043398506,1.481833092868328,0.16545454545454547,0.31904023069569165,0.1629099197422248,0.11642357332822174,0.3452914798206278,0.8953488372093024,0.49838187702265374,0.9724770642201835,1.7138891064036976
3,0.00029948767395100045,30.38,0.5671875,0.6442475394573964,0.39284713655741454,0.5760404394623703,1.3944641202688217,0.5454545454545454,0.6569386370193382,0.3347030497401957,0.5293921480600235,0.9327354260089686,0.7647058823529411,0.8404040404040404,0.8042813455657493,1.4832381369850853
4,0.00029795419551040833,32.14,0.564453125,0.6781445702514457,0.38824541244257826,0.5661073157304568,1.3388209968805314,0.16,0.5245013605595757,0.13597419563016622,0.13023275854132166,0.8026905829596412,0.8063063063063063,0.8044943820224719,0.8685015290519877,1.6636553582278164
5,0.0002954100398908995,33.99,0.6,0.7069287362468648,0.42474990277589664,0.605052522549889,1.3166056767106056,0.56,0.6917973075484324,0.39239604890106744,0.5583880729240172,0.9103139013452914,0.7748091603053435,0.8371134020618557,0.8195718654434251,1.3762205865166404
6,0.00029187258625509513,34.44,0.612109375,0.7147989512301933,0.4421266764182955,0.6121727827923674,1.2913856953382492,0.6727272727272727,0.7204854366559894,0.48971828174415455,0.680043715645813,0.6278026905829597,0.9271523178807947,0.7486631016042781,0.9663608562691132,1.2996154663779518
7,0.00028736599899825856,32.9,0.615625,0.7165932090135197,0.44622386690353444,0.6131215179679395,1.283751554042101,0.40545454545454546,0.5628766764334548,0.31264671718068404,0.44220912346080415,0.38565022421524664,0.8958333333333334,0.5391849529780565,0.9694189602446484,1.4854333972930909
8,0.00028192106268097334,32.62,0.620703125,0.7475495575393613,0.4586696338926859,0.6227157716563262,1.2580649100244046,0.6254545454545455,0.7513239921049032,0.4835700565827696,0.6459976262346637,0.8071748878923767,0.8653846153846154,0.8352668213457076,0.9143730886850153,1.2370078776099465
9,0.00027557497173937923,32.69,0.6203125,0.7476778984758028,0.4514315754147688,0.6234398670525214,1.2603047356009482,0.6836363636363636,0.7154550017373846,0.49814884620956396,0.6578273577433742,0.7130044843049327,0.9137931034482759,0.801007556675063,0.9541284403669725,1.256686432578347
10,0.00026837107640945905,33.1,0.654296875,0.7547627385702604,0.4876362151207302,0.6638343890255465,1.2391489051282405,0.7109090909090909,0.6626942553847674,0.4609097479888975,0.690743901727477,0.6188340807174888,0.9019607843137255,0.7340425531914894,0.9541284403669725,1.3062512042305687
11,0.0002603585866009697,33.24,0.666796875,0.7754661394001905,0.5073454616897205,0.6728734281534478,1.206453474611044,0.6890909090909091,0.7926089058387495,0.5171808798803862,0.7054882562663866,0.7623318385650224,0.8762886597938144,0.815347721822542,0.926605504587156,1.2409669607335871
12,0.00025159223574386114,33.01,0.6625,0.7914436762660966,0.5126698848407527,0.6697492102128668,1.1840009428560734,0.7218181818181818,0.8057396635073127,0.5291332758568597,0.7219673838961498,0.8161434977578476,0.8878048780487805,0.8504672897196262,0.9296636085626911,1.241673636002974
13,0.00024213190690345018,32.8,0.666796875,0.7732849674597247,0.5117661088808364,0.6741034725870091,1.2040452115237712,0.7563636363636363,0.8171727536818372,0.5630039576442205,0.752401999509825,0.8565022421524664,0.8883720930232558,0.8721461187214612,0.926605504587156,1.2313985161347822
14,0.00023204222371836402,32.61,0.6703125,0.7858682343876496,0.5085003698204471,0.6808530896469602,1.2013530880212784,0.6054545454545455,0.7225119984428916,0.49673655490238405,0.6264321471128231,0.7399103139013453,0.8918918918918919,0.8088235294117647,0.9388379204892966,1.211551420471885
15,0.00022139210895556104,33.1,0.68515625,0.784248288396672,0.5325232485651706,0.6914748688876123,1.1763615593314172,0.6381818181818182,0.7304494629973857,0.47205499168950277,0.6310769309584194,0.8878923766816144,0.8571428571428571,0.8722466960352423,0.8990825688073395,1.3027766128019853
16,0.0002102543136979454,33.2,0.691796875,0.7898573097470335,0.5379830108679414,0.6991327807111218,1.175972443073988,0.6890909090909091,0.7881368423742038,0.5161034912203077,0.6779178030591086,0.695067264573991,0.9393939393939394,0.7989690721649485,0.9694189602446484,1.2347983733090488
17,0.00019870492038070252,35.42,0.69609375,0.7958985533824529,0.5449263849349141,0.7021931122602385,1.1545883044600487,0.7636363636363637,0.8228571314258051,0.6046962327913551,0.7622277432951814,0.7354260089686099,0.9318181818181818,0.8220551378446115,0.963302752293578,1.1582227091355757
18,0.00018682282307111987,32.78,0.708203125,0.811457248523052,0.561074858276161,0.7183136575279656,1.1264403216540813,0.6272727272727273,0.7257083101385888,0.4226413013874776,0.6149974303940272,0.9282511210762332,0.8448979591836735,0.8846153846153846,0.8837920489296636,1.4111977169730447
19,0.00017468918854211007,32.67,0.7078125,0.8148623864275605,0.5621962844307229,0.7160179244317894,1.1265949346125126,0.769090909090909,0.8292866701903937,0.5737442274268483,0.7644369314925248,0.8340807174887892,0.8815165876777251,0.8571428571428571,0.9235474006116208,1.1896441854130138
20,0.00016238690182084986,32.75,0.709765625,0.8148356924848991,0.5680033774991302,0.7156795651733606,1.1087073899805546,0.7327272727272728,0.7877130910260534,0.5473560288640595,0.7351663302014558,0.6278026905829597,0.9459459459459459,0.7547169811320755,0.9755351681957186,1.2360771491310814
21,0.00015,33.49,0.728515625,0.832450488049103,0.5817016206019062,0.736400890101382,1.1153606966137886,0.6581818181818182,0.7731787748268449,0.47557959450155174,0.638053685293222,0.7219730941704036,0.9252873563218391,0.8110831234256927,0.9602446483180428,1.2138859761844982
22,0.00013761309817915014,33.56,0.717578125,0.8247100365398065,0.5708641099558769,0.7260978232611343,1.1187953993678093,0.6890909090909091,0.8495827308519223,0.5253832320036008,0.6919185553299433,0.8430493273542601,0.9082125603864735,0.8744186046511628,0.9418960244648318,1.1820747557553377
23,0.00012531081145788987,33.39,0.73125,0.8381741511809313,0.5842003751476758,0.7384218600442494,1.0810650169849396,0.7363636363636363,0.8432943543058009,0.5884545234555094,0.7389385434029778,0.852017937219731,0.9004739336492891,0.8755760368663594,0.9357798165137615,1.1177655228701504
24,0.00011317717692888012,33.69,0.743359375,0.8291004957056645,0.6044225554031021,0.751566477333798,1.0590892106294632,0.7563636363636363,0.8416894921976633,0.6038551277510465,0.760534841426485,0.7085201793721974,0.9239766081871345,0.8020304568527918,0.9602446483180428,1.120448051149195
25,0.00010129507961929748,33.29,0.723828125,0.8321827703159547,0.5710087238046249,0.7308169636942484,1.0990741454064845,0.7018181818181818,0.8648259519499361,0.5514433704145365,0.715329062192432,0.8834080717488789,0.8678414096916299,0.8755555555555555,0.908256880733945,1.1706239899722013
26,8.97456863020546e-05,33.45,0.734765625,0.8364415111543937,0.5908624444445626,0.7425346596031381,1.0671688735485076,0.7490909090909091,0.8243376567124672,0.5734011049926536,0.7491383067660481,0.6681614349775785,0.9371069182389937,0.7801047120418848,0.9694189602446484,1.186313142343001
27,7.860789104443896e-05,33.82,0.74453125,0.8389702452076073,0.6023949087884886,0.7515207020364086,1.0671096988022328,0.72,0.8359104042393364,0.5628827403948957,0.7153468966065334,0.7802690582959642,0.9206349206349206,0.8446601941747572,0.9541284403669725,1.1269895922053943
28,6.795777628163599e-05,34.15,0.755078125,0.8459474950997676,0.6157554659470208,0.7619814087532326,1.0589493103325367,0.76,0.8480920521283066,0.5996907824099786,0.7635594982834188,0.7713004484304933,0.9247311827956989,0.8410757946210269,0.9571865443425076,1.1139378374273128
29,5.786809309654982e-05,33.29,0.750390625,0.8528827520640654,0.6107785375733804,0.7597635595145275,1.0495337583124638,0.7781818181818182,0.8498233386013357,0.6235380025464179,0.7799138363047909,0.8340807174887892,0.9117647058823529,0.8711943793911007,0.944954128440367,1.0971813475001941
