epoch,lr,seconds,train_accuracy,train_qwk,train_f1_macro,train_f1_weighted,train_loss,val_accuracy,val_qwk,val_f1_macro,val_f1_weighted,val_referable_sensitivity,val_referable_precision,val_referable_f1,val_referable_specificity,val_loss
1,0.0001,275.79,0.530859375,0.45353729338833626,0.3633173336990994,0.5479877304071731,1.5231990886852145,0.7,0.6857734878107851,0.5524224802113936,0.7192792881944607,0.7130044843049327,0.8688524590163934,0.7832512315270936,0.926605504587156,2.064136039127003
2,0.0002,264.39,0.71484375,0.7973253062531688,0.5455225120585536,0.7226735935749714,1.20332931317389,0.7909090909090909,0.8965381641361291,0.6452632509201117,0.7987721471367875,0.9192825112107623,0.9030837004405287,0.9111111111111111,0.9327217125382263,1.0749103671854192
3,0.00019848077530122083,265.38,0.758984375,0.8295182911925816,0.5945814843079964,0.7647775897405167,1.1443969918414951,0.8290909090909091,0.8815398068770695,0.6679110170286483,0.8286310861527492,0.9282511210762332,0.8961038961038961,0.9118942731277533,0.926605504587156,1.1637456213344226
4,0.00019396926207859084,264.25,0.81171875,0.8899822500432483,0.6745382483188497,0.814574569715823,1.0205195036716759,0.7945454545454546,0.8470400824511213,0.6343160161686351,0.7936488983524763,0.7668161434977578,0.9395604395604396,0.8444444444444444,0.9663608562691132,1.1673540345105258
5,0.00018660254037844388,302.61,0.830859375,0.8974313883411056,0.7135619309414907,0.8335557886180787,0.9546067162416876,0.7963636363636364,0.8870412669951548,0.6608919400712614,0.8009753315813715,0.8878923766816144,0.908256880733945,0.8979591836734694,0.9388379204892966,1.0650517277284102
6,0.0001766044443118978,267.37,0.85390625,0.9156369004924514,0.7385534207788373,0.8564481504809752,0.8957309507764876,0.84,0.8995895376195644,0.6932594778152692,0.8388863721964085,0.8565022421524664,0.9408866995073891,0.8967136150234741,0.963302752293578,1.1604055101221258
7,0.00016427876096865394,263.8,0.870703125,0.9275921905281173,0.7650418670576641,0.8717248749689281,0.8480243787169457,0.8090909090909091,0.8994059227758293,0.6871479828993705,0.8121211875607042,0.8026905829596412,0.9572192513368984,0.8731707317073171,0.9755351681957186,1.1142085045034236
8,0.00015000000000000001,264.08,0.887890625,0.9380559861027729,0.8015390322862291,0.8891697622276473,0.7883748480118811,0.8290909090909091,0.9007048692468518,0.698406880182109,0.8280685641375518,0.8251121076233184,0.9533678756476683,0.8846153846153846,0.9724770642201835,1.184791320887479
9,0.00013420201433256689,267.67,0.8984375,0.9411165718840776,0.8176493063127751,0.8991584267780374,0.7708669037558138,0.8254545454545454,0.9020009332306911,0.690361919745475,0.8266375142986857,0.8430493273542601,0.9494949494949495,0.8931116389548693,0.9694189602446484,1.1804463885047218
10,0.00011736481776669306,263.65,0.91875,0.9565443317250848,0.8537463280294648,0.9190777405869728,0.6874367245938628,0.8290909090909091,0.9180354154915894,0.6934121776389327,0.8291856616731552,0.9417040358744395,0.8936170212765957,0.9170305676855895,0.9235474006116208,1.1793443202972411
