epoch,lr,seconds,train_accuracy,train_qwk,train_f1_macro,train_f1_weighted,train_loss,val_accuracy,val_qwk,val_f1_macro,val_f1_weighted,val_referable_sensitivity,val_referable_precision,val_referable_f1,val_referable_specificity,val_loss
1,0.00015,139.53,0.4546875,0.46210466722452304,0.32675264162592266,0.4904189870720817,1.5560652628540992,0.6563636363636364,0.7653120992892084,0.5152818798422137,0.6586969831871988,0.8385650224215246,0.8990384615384616,0.8677494199535963,0.9357798165137615,1.2194029504602606
2,0.0003,129.53,0.697265625,0.8036590063182446,0.544433366543832,0.7083995524774978,1.1891252640634775,0.7945454545454546,0.8558053521815709,0.563444477023479,0.7841489095771148,0.8923766816143498,0.9255813953488372,0.908675799086758,0.9510703363914373,1.1758417266065424
3,0.0002986028919054496,136.14,0.74921875,0.8423126008731497,0.6086934659491703,0.7599488870283069,1.0831224165856839,0.8272727272727273,0.8797370826459155,0.6154229097111606,0.8152781081565822,0.9282511210762332,0.9078947368421053,0.917960088691796,0.9357798165137615,1.117108710462397
4,0.0002944375931021699,148.28,0.776953125,0.8783232788608171,0.6472792947919161,0.784238737380482,1.021834659203887,0.7818181818181819,0.8877030552020104,0.6301528062591024,0.7910854452780233,0.9237668161434978,0.8995633187772926,0.911504424778761,0.9296636085626911,1.0695156921039928
5,0.0002875816952258179,134.14,0.7890625,0.8685508537342459,0.6677033104983643,0.7964380017032788,0.9757786225527525,0.84,0.8820821314948952,0.7078342277879781,0.8366708019456507,0.8161434977578476,0.9578947368421052,0.8813559322033898,0.9755351681957186,1.0676458610187878
6,0.0002781629106819733,138.62,0.826953125,0.8998394048781854,0.7159968513973562,0.8322982095357914,0.8973384665325284,0.8127272727272727,0.8791174137815704,0.6643907567880619,0.8189011072488029,0.9013452914798207,0.9136363636363637,0.90744920993228,0.9418960244648318,1.0168219843777744
7,0.00026635669360566296,132.68,0.851171875,0.9189703626092012,0.752949297698461,0.8554459865241284,0.8512870863080024,0.8236363636363636,0.8981451221565306,0.6787824171152979,0.8274250270145367,0.8654708520179372,0.910377358490566,0.8873563218390804,0.9418960244648318,1.103638191656633
8,0.0002523829714827981,134.52,0.86328125,0.9292416047400149,0.7721178703850967,0.8672875270477742,0.8108004929497838,0.8072727272727273,0.8959540178510168,0.6756051284307957,0.8131559713912109,0.8340807174887892,0.9346733668341709,0.8815165876777251,0.9602446483180428,1.043023610982028
9,0.00023650204831723005,130.62,0.880078125,0.9274625829116144,0.8064893971253977,0.8826519255259605,0.7347826955839991,0.8309090909090909,0.8953379767801768,0.6659511143575128,0.827975418055141,0.8834080717488789,0.9205607476635514,0.9016018306636155,0.9480122324159022,1.1252627446434715
10,0.0002190097556596728,127.9,0.901953125,0.94298246673284,0.8391224725435524,0.9036943208730165,0.6909638978540897,0.8145454545454546,0.8708127055252413,0.6652073906485672,0.8143684012066363,0.8026905829596412,0.9623655913978495,0.8753056234718827,0.9785932721712538,1.0879893025484952
